datetime_utc,distance_au,velocity_km_s,designation,name,diameter_km,potentially_hazardous
1900-01-01 00:11:00,0.0921795123769547,16.7523040362574,170903,,nan,True
1900-01-01 02:33:00,0.414975519685102,17.918395877175,2005 OE3,,nan,True
1900-01-01 03:13:00,0.114291499199114,7.39720266467069,2006 XO4,,nan,False
1900-01-01 05:01:00,0.237367466253556,4.78123058453747,7088,Ishtar,1.298,False
